id,nom,effectif_max,type_salle,Lundi_Matin,Lundi_ApresMidi,Mardi_Matin,Mardi_ApresMidi,Mercredi_Matin,Mercredi_ApresMidi,Jeudi_Matin,Jeudi_ApresMidi,Vendredi_Matin,Vendredi_ApresMidi
1,CO315,40,standard,1,1,1,1,1,1,1,1,1,1
2,CO416,26,mac,1,1,1,1,1,1,1,1,1,1
3,CO503,25,vieux_ordi,1,1,1,1,1,1,1,1,1,1
4,CO510,20,pc,1,1,1,1,1,1,1,1,1,1
5,CO515,20,musique,1,1,1,1,1,1,1,1,1,1
6,CO601,30,standard,1,1,1,1,1,1,1,1,1,1
7,CO604,30,standard,1,1,1,1,1,1,1,1,1,1
8,CO610,20,pc_3d,1,1,1,1,1,1,1,1,1,1
9,CO615,20,pc,1,1,1,1,1,1,1,1,1,1
10,CO701,60,standard,1,1,1,1,1,1,1,1,1,1
11,AMPHI110,130,amphi,0,1,1,1,0,1,0,1,1,1
12,FA001,300,amphi,0,1,0,1,0,0,1,0,0,0